CurrentTime,CurrentStage,Action,ObjectName,CurrentSpot,RoleName,RuleName,RuleType,FiringTimeCondition,FiringStageCondition,DebugInfo
0/00:00:00,INITIALIZATION,ADD,Agent,DEFAULT:Cell11,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:00,AgentAction,FIRE,Agent,DEFAULT:Cell11,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:01,AgentAction,FIRE,Agent,DEFAULT:Cell11,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:02,AgentAction,FIRE,Agent,DEFAULT:Cell11,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:03,AgentAction,FIRE,Agent,DEFAULT:Cell11,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:04,AgentAction,FIRE,Agent,DEFAULT:Cell11,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:05,AgentAction,FIRE,Agent,DEFAULT:Cell11,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:06,AgentAction,FIRE,Agent,DEFAULT:Cell29,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:07,AgentAction,FIRE,Agent,DEFAULT:Cell29,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:08,AgentAction,FIRE,Agent,DEFAULT:Cell47,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:09,AgentAction,FIRE,Agent,DEFAULT:Cell65,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:10,AgentAction,FIRE,Agent,DEFAULT:Cell47,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:11,AgentAction,FIRE,Agent,DEFAULT:Cell29,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:12,AgentAction,FIRE,Agent,DEFAULT:Cell11,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:13,AgentAction,FIRE,Agent,DEFAULT:Cell11,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:14,AgentAction,FIRE,Agent,DEFAULT:Cell29,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:15,AgentAction,FIRE,Agent,DEFAULT:Cell47,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:16,AgentAction,FIRE,Agent,DEFAULT:Cell65,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:17,AgentAction,FIRE,Agent,DEFAULT:Cell83,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:18,AgentAction,FIRE,Agent,DEFAULT:Cell101,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:19,AgentAction,FIRE,Agent,DEFAULT:Cell119,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:20,AgentAction,FIRE,Agent,DEFAULT:Cell137,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:21,AgentAction,FIRE,Agent,DEFAULT:Cell137,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:22,AgentAction,FIRE,Agent,DEFAULT:Cell137,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:23,AgentAction,FIRE,Agent,DEFAULT:Cell137,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:24,AgentAction,FIRE,Agent,DEFAULT:Cell139,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:25,AgentAction,FIRE,Agent,DEFAULT:Cell139,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:26,AgentAction,FIRE,Agent,DEFAULT:Cell157,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:27,AgentAction,FIRE,Agent,DEFAULT:Cell157,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:28,AgentAction,FIRE,Agent,DEFAULT:Cell157,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:29,AgentAction,FIRE,Agent,DEFAULT:Cell155,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:30,AgentAction,FIRE,Agent,DEFAULT:Cell155,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:31,AgentAction,FIRE,Agent,DEFAULT:Cell155,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:32,AgentAction,FIRE,Agent,DEFAULT:Cell155,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:33,AgentAction,FIRE,Agent,DEFAULT:Cell155,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:34,AgentAction,FIRE,Agent,DEFAULT:Cell155,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:35,AgentAction,FIRE,Agent,DEFAULT:Cell155,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:36,AgentAction,FIRE,Agent,DEFAULT:Cell155,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
0/00:00:37,AgentAction,FIRE,Agent,DEFAULT:Cell155,Agent,agentGreedyAction,STAGE,-1/-1:00:00,AgentAction,
