CurrentTime,CurrentStage,NoOfRegisteredRules,NoOfExecutedRules,ExecutionTimeInNanoSec
0/00:00:00,AgentAction,1,1,1491857
0/00:00:01,AgentAction,1,1,275378
0/00:00:02,AgentAction,1,1,532372
0/00:00:03,AgentAction,1,1,467254
0/00:00:04,AgentAction,1,1,567182
0/00:00:05,AgentAction,1,1,712218
0/00:00:06,AgentAction,1,1,575561
0/00:00:07,AgentAction,1,1,513568
0/00:00:08,AgentAction,1,1,449446
0/00:00:09,AgentAction,1,1,620410
0/00:00:10,AgentAction,1,1,323844
0/00:00:11,AgentAction,1,1,512869
0/00:00:12,AgentAction,1,1,466209
0/00:00:13,AgentAction,1,1,522694
0/00:00:14,AgentAction,1,1,523047
0/00:00:15,AgentAction,1,1,479756
0/00:00:16,AgentAction,1,1,125223
0/00:00:17,AgentAction,1,1,459352
0/00:00:18,AgentAction,1,1,433917
0/00:00:19,AgentAction,1,1,462275
0/00:00:20,AgentAction,1,1,297866
0/00:00:21,AgentAction,1,1,427092
0/00:00:22,AgentAction,1,1,434024
0/00:00:23,AgentAction,1,1,455866
0/00:00:24,AgentAction,1,1,386106
0/00:00:25,AgentAction,1,1,425551
0/00:00:26,AgentAction,1,1,370531
0/00:00:27,AgentAction,1,1,338760
0/00:00:28,AgentAction,1,1,500593
0/00:00:29,AgentAction,1,1,416818
0/00:00:30,AgentAction,1,1,223479
0/00:00:31,AgentAction,1,1,387393
0/00:00:32,AgentAction,1,1,580927
0/00:00:33,AgentAction,1,1,285991
0/00:00:34,AgentAction,1,1,271538
0/00:00:35,AgentAction,1,1,299980
0/00:00:36,AgentAction,1,1,272868
0/00:00:37,AgentAction,1,1,285490
0/00:00:38,AgentAction,1,1,276402
0/00:00:39,AgentAction,1,1,293012
0/00:00:40,AgentAction,1,1,363297
0/00:00:41,AgentAction,1,1,291976
0/00:00:42,AgentAction,1,1,505563
0/00:00:43,AgentAction,1,1,255639
0/00:00:44,AgentAction,1,1,258601
0/00:00:45,AgentAction,1,1,269664
0/00:00:46,AgentAction,1,1,343103
0/00:00:47,AgentAction,1,1,267844
0/00:00:48,AgentAction,1,1,279287
0/00:00:49,AgentAction,1,1,253505
0/00:00:50,AgentAction,1,1,258499
0/00:00:51,AgentAction,1,1,310929
0/00:00:52,AgentAction,1,1,259048
0/00:00:53,AgentAction,1,1,248822
0/00:00:54,AgentAction,1,1,282079
0/00:00:55,AgentAction,1,1,232456
